ID, X, Y,Z,first_z, last_z, VOL, INTENSITY, TEXTURE, CONVEXITY, SHAPE, ECCENTRICITY, BENDING_ENERGY, RADIUS_VAR, INSIDE_GRAD, BORDER_GRAD, PERI, SHARE_BORDER, ORIENTATION, INT_RATIO, DEPTH, POLARS, STDV, SKEW, ENERGY, ENTROPY, MIN_CURV, MED_CURV, PCNT_CONCAVITY
 1, 207, 58, 88, 82, 97, 732.00, 62.00, 38.74, 0.00, 0.70, 0.00, 0.00, 1.93, 19.00, 29.15, 384.00, 0.00, 0.00, 0.83, 16.00, 2.00, 9.75, 0.33, 6605.00, 0.00, 0.00, 0.00, 0.00
 2, 374, 75, 143, 135, 149, 1642.00, 60.00, 45.85, 1.02, 0.85, 1.30, 1.67, 1.58, 21.67, 26.14, 710.00, 0.00, 0.79, 0.85, 15.00, 1.00, 12.70, 0.44, 26928.00, 0.00, 0.00, 0.00, 0.00
 3, 261, 91, 96, 89, 104, 382.00, 56.00, 36.54, 0.00, 0.67, 0.00, 0.00, 1.98, 16.18, 23.36, 246.00, 0.00, 0.00, 0.89, 16.00, 2.00, 6.10, 0.34, 2061.00, 0.00, 0.00, 0.00, 0.00
 4, 155, 94, 135, 129, 143, 1199.00, 50.00, 35.58, 1.03, 0.86, 1.79, 1.75, 1.70, 13.97, 19.25, 561.00, 0.00, 0.39, 0.93, 15.00, 1.00, 6.67, 0.60, 27972.00, 0.00, 0.00, 0.00, 0.00
 5, 271, 98, 79, 66, 93, 1402.00, 71.00, 47.08, 0.00, 0.90, 0.00, 0.00, 3.34, 26.46, 39.95, 636.00, 0.01, 0.00, 0.79, 28.00, 2.00, 16.41, 0.50, 16944.00, 0.00, 0.00, 0.00, 0.00
 6, 160, 111, 131, 126, 138, 699.00, 54.00, 38.89, 3.65, 0.69, 2.26, 1.45, 1.38, 16.44, 23.27, 367.00, 0.00, 0.98, 0.93, 13.00, 1.00, 7.78, 0.43, 7105.00, 0.00, 0.00, 0.00, 0.00
 7, 134, 128, 111, 102, 121, 923.00, 70.00, 38.76, 0.00, 0.67, 0.00, 0.00, 2.23, 21.41, 40.85, 439.00, 0.00, 0.00, 0.79, 20.00, 2.00, 11.99, 0.32, 9423.00, 0.00, 0.00, 0.00, 0.00
 8, 178, 130, 102, 91, 114, 2919.00, 56.00, 39.01, 1.02, 0.85, 1.87, 1.66, 2.33, 17.42, 21.96, 1036.00, 0.02, 0.98, 0.82, 24.00, 1.00, 8.68, 0.16, 180578.00, 0.00, 0.00, 0.00, 0.00
 9, 183, 131, 86, 80, 93, 720.00, 53.00, 35.70, 4.50, 0.57, 1.11, 1.28, 1.13, 14.87, 18.56, 347.00, 0.07, 1.77, 0.90, 14.00, 1.00, 7.29, 0.27, 8587.00, 0.00, 0.00, 0.00, 0.00
 10, 221, 134, 79, 67, 91, 733.00, 60.00, 44.93, 0.00, 0.92, 0.00, 0.00, 3.42, 21.17, 28.68, 422.00, 0.00, 0.00, 0.85, 25.00, 2.00, 10.78, 0.45, 5260.00, 0.00, 0.00, 0.00, 0.00
 11, 399, 136, 144, 138, 149, 1253.00, 53.00, 39.82, 0.97, 0.75, 1.54, 1.62, 1.57, 16.52, 20.84, 565.00, 0.00, 0.00, 0.91, 12.00, 1.00, 9.00, 0.35, 19668.00, 0.00, 0.00, 0.00, 0.00
 12, 207, 140, 95, 87, 104, 596.00, 73.00, 36.84, 0.00, 0.64, 0.00, 0.00, 2.16, 21.07, 40.84, 326.00, 0.00, 0.00, 0.79, 18.00, 2.00, 10.23, -0.23, 4024.00, 0.00, 0.00, 0.00, 0.00
 13, 152, 180, 85, 80, 91, 402.00, 53.00, 41.63, 0.00, 0.55, 0.00, 0.00, 1.20, 17.49, 22.41, 236.00, 0.13, 0.00, 0.90, 12.00, 2.00, 8.87, 0.42, 1959.00, 0.00, 0.00, 0.00, 0.00
 14, 166, 181, 67, 58, 76, 1831.00, 58.00, 44.38, 0.92, 0.92, 2.22, 1.85, 2.03, 20.27, 28.66, 772.00, 0.08, 0.59, 0.87, 19.00, 1.00, 11.24, 0.60, 50083.00, 0.00, 0.00, 0.00, 0.00
