ID	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	CD34_TOTAL	CD34_AVG	CD34_SURR	SMA_TOTAL	SMA_AVG	SMA_SURR	CA9_TOTAL	CA9_AVG	CA9_SURR	KI67_TOTAL	KI67_AVG	train_EC	train_TUMOR	train_KI67	
12.00	1466.00	142067.00	1.00	32.21	-0.89	2160.00	142067.00	96.91	34.00	163.00	33.43	1117.52	7.97	0.00	96.91	0.00	0.00	1.02	1466.00	12.96	0.02	0.00	10.08	0.22	32.09	-57403.68	37509800.00	26378.00	42.61	3.00	11167.00	57.27	8.00	16611.00	28.99	8.00	2224.00	30.89	2.00	-1.00	-1.00	
22.00	1352.00	74028.00	1.00	28.77	-2.06	2040.00	74028.00	54.75	33.00	84.00	11.95	142.91	3.77	0.00	54.75	0.00	0.00	0.95	1352.00	11.95	0.01	0.00	8.67	0.40	11.18	2087.45	680051.00	229770.00	70.92	8.00	31817.00	61.30	8.00	31174.00	35.42	8.00	16750.00	39.14	1.00	-1.00	-1.00	
47.00	1153.00	93768.00	1.00	30.94	-1.98	1760.00	93768.00	81.33	33.00	147.00	30.49	929.83	8.07	0.00	81.33	0.00	0.00	0.87	1153.00	10.20	0.01	0.00	9.87	0.29	50.67	11337.14	26508072.00	0.00	0.00	0.00	644.00	46.00	5.00	34478.00	34.97	7.00	9421.00	43.62	2.00	-1.00	-1.00	
87.00	1009.00	79264.00	1.00	30.36	-0.03	1295.00	79264.00	78.56	34.00	120.00	24.53	601.77	6.87	0.00	78.56	0.00	0.00	0.81	1009.00	8.92	0.00	0.00	9.56	0.24	33.14	-27459.49	9847777.00	59.00	29.50	0.00	36614.00	71.93	8.00	47177.00	43.40	7.00	6629.00	38.54	2.00	1.00	-1.00	
205.00	820.00	63709.00	1.00	18.20	-0.97	1530.00	63709.00	77.69	33.00	131.00	28.45	809.62	9.30	0.00	77.69	0.00	0.00	1.07	820.00	7.25	0.01	0.00	9.56	0.26	56.45	-2978.83	16258166.00	99662.00	61.86	8.00	91825.00	91.19	8.00	38621.00	39.13	8.00	7496.00	39.87	1.00	-1.00	-1.00	
256.00	755.00	47415.00	1.00	18.76	-0.24	989.00	47415.00	62.80	33.00	93.00	16.44	270.30	4.52	0.00	62.80	0.00	0.00	0.93	755.00	6.68	0.00	0.00	8.62	0.44	20.66	-6750.29	1936791.62	67842.00	63.40	8.00	31904.00	62.43	8.00	8627.00	29.65	7.00	7814.00	40.07	1.00	-1.00	-1.00	
382.00	569.00	36329.00	1.00	19.69	-0.48	837.00	36329.00	63.85	34.00	107.00	22.99	528.62	7.27	0.00	63.85	0.00	0.00	0.74	569.00	5.03	0.00	0.00	8.98	0.24	46.59	21256.11	7068162.00	75797.00	51.60	8.00	2321.00	64.47	5.00	22740.00	28.46	7.00	2720.00	33.58	1.00	-1.00	-1.00	
396.00	546.00	26943.00	1.00	19.98	0.61	780.00	26943.00	49.35	34.00	70.00	7.79	60.63	3.75	0.00	49.35	0.00	0.00	0.72	546.00	4.83	0.00	0.01	7.81	0.39	10.20	1116.45	135618.50	11035.00	41.33	2.00	1862.00	51.72	6.00	73648.00	74.92	5.00	3816.00	37.78	2.00	1.00	-1.00	
408.00	521.00	29095.00	1.00	19.37	-0.24	667.00	29095.00	55.84	34.00	81.00	12.05	145.19	5.11	0.00	55.84	0.00	0.00	0.73	521.00	4.61	0.02	0.00	8.42	0.30	36.80	-1038.84	543375.81	112315.00	73.94	8.00	32757.00	81.89	8.00	37789.00	39.24	8.00	7394.00	50.30	1.00	-1.00	-1.00	
470.00	424.00	22541.00	1.00	16.06	0.66	624.00	22541.00	53.16	34.00	80.00	12.67	160.58	5.43	0.00	53.16	0.00	0.00	0.74	424.00	3.75	0.00	0.00	8.33	0.22	19.94	6759.69	835878.12	135384.00	115.81	8.00	48297.00	77.65	8.00	26521.00	38.66	8.00	3471.00	38.14	1.00	-1.00	-1.00	
505.00	364.00	19348.00	1.00	12.14	-0.94	700.00	19348.00	53.15	33.00	81.00	13.87	192.51	6.16	0.00	53.15	0.00	0.00	0.88	364.00	3.22	0.00	0.00	8.20	0.34	21.21	7349.17	1108434.25	0.00	0.00	0.00	10291.00	63.13	8.00	12589.00	31.87	5.00	1934.00	36.49	2.00	-1.00	-1.00	
24.00	1322.00	82947.00	1.00	32.49	0.12	1755.00	82947.00	62.74	34.00	98.00	13.88	192.62	4.12	0.00	62.74	0.00	0.00	0.89	1322.00	11.69	0.02	0.00	9.00	0.37	16.30	3500.34	1404075.25	216.00	36.00	0.00	39733.00	69.46	8.00	97524.00	78.02	7.00	12278.00	40.39	-1.00	1.00	-1.00	
61.00	1087.00	74905.00	1.00	31.75	-2.06	1482.00	74905.00	68.91	34.00	107.00	17.38	301.99	5.70	0.00	68.91	0.00	0.00	0.81	1087.00	9.61	0.00	0.00	9.37	0.28	24.33	-3030.15	2862482.25	12309.00	72.41	1.00	19941.00	67.60	8.00	69252.00	54.83	8.00	7438.00	38.74	-1.00	1.00	-1.00	
70.00	1059.00	70579.00	1.00	29.66	-0.07	1400.00	70579.00	66.65	34.00	103.00	18.20	331.28	5.77	0.00	66.65	0.00	0.00	0.82	1059.00	9.36	0.00	0.00	9.39	0.28	26.80	1829.58	3060135.00	0.00	0.00	0.00	53973.00	69.73	8.00	3435.00	27.48	5.00	9944.00	37.95	-1.00	2.00	-1.00	
119.00	946.00	65167.00	1.00	30.20	-0.73	1332.00	65167.00	68.89	33.00	106.00	17.91	320.70	6.39	0.00	68.89	0.00	0.00	0.81	946.00	8.36	0.02	0.00	9.25	0.28	33.94	-12074.24	3419399.00	117862.00	51.78	8.00	30511.00	57.14	8.00	7043.00	36.30	4.00	8136.00	37.84	-1.00	2.00	-1.00	
251.00	758.00	48569.00	1.00	21.59	-0.03	1066.00	48569.00	64.08	34.00	109.00	18.56	344.36	6.73	0.00	64.08	0.00	0.00	0.82	758.00	6.70	0.00	0.00	9.14	0.28	41.41	24162.92	3868610.75	0.00	0.00	0.00	53251.00	76.40	8.00	16630.00	36.15	8.00	2109.00	32.95	-1.00	2.00	-1.00	
347.00	625.00	36673.00	1.00	21.88	-1.60	1148.00	36673.00	58.68	33.00	100.00	16.80	282.21	6.73	0.00	58.68	0.00	0.00	0.77	625.00	5.53	0.01	0.00	8.91	0.30	25.93	17160.58	3045874.25	44157.00	47.48	7.00	13265.00	55.97	8.00	1287.00	25.74	3.00	3586.00	35.16	-1.00	2.00	-1.00	
50.00	1127.00	111469.00	1.00	20.35	-0.53	2072.00	111469.00	98.91	33.00	191.00	45.20	2043.17	13.53	0.00	98.91	0.00	0.00	1.18	1127.00	9.97	0.02	0.00	10.29	0.18	229.63	28124.49	106486960.00	19945.00	44.82	6.00	38.00	38.00	0.00	5467.00	27.33	5.00	68634.00	111.06	-1.00	-1.00	1.00	
75.00	1048.00	142512.00	1.00	27.08	-1.68	1260.00	142512.00	135.98	34.00	251.00	74.99	5623.96	16.70	0.00	135.98	0.00	0.00	0.85	1048.00	9.27	0.01	0.00	10.04	0.24	133.15	454384.06	736658496.00	26341.00	47.29	2.00	2798.00	66.62	5.00	109313.00	53.64	8.00	136782.00	153.69	-1.00	-1.00	1.00	
141.00	905.00	69793.00	1.00	20.85	0.03	1250.00	69793.00	77.12	33.00	128.00	25.11	630.60	8.25	0.00	77.12	0.00	0.00	0.90	905.00	8.00	0.00	0.00	9.68	0.13	69.45	-9654.01	10563541.00	1006.00	35.93	2.00	33801.00	83.87	8.00	28750.00	32.16	8.00	2004.00	30.36	-1.00	-1.00	2.00	
404.00	534.00	41315.00	1.00	16.05	-0.04	777.00	41315.00	77.37	34.00	120.00	21.85	477.61	9.13	0.00	77.37	0.00	0.00	0.77	534.00	4.72	0.03	0.00	8.94	0.18	95.20	-26127.99	5806163.50	16123.00	47.14	4.00	25222.00	65.68	8.00	8008.00	30.45	7.00	2502.00	36.79	-1.00	-1.00	2.00	
450.00	451.00	32959.00	1.00	18.37	0.08	744.00	32959.00	73.08	33.00	117.00	22.46	504.25	8.22	0.00	73.08	0.00	0.00	0.66	451.00	3.99	0.03	0.00	8.81	0.23	55.59	-8428.54	7112184.00	123.00	41.00	1.00	21821.00	73.72	8.00	20387.00	37.89	8.00	2443.00	37.02	-1.00	-1.00	2.00	
453.00	444.00	26193.00	1.00	18.87	-1.95	550.00	26193.00	58.99	34.00	101.00	19.04	362.41	6.96	0.00	58.99	0.00	0.00	0.69	444.00	3.93	0.00	0.00	8.42	0.32	37.70	32628.75	4226664.50	114.00	28.50	0.00	4246.00	63.37	6.00	44265.00	55.26	8.00	70005.00	158.74	-1.00	-1.00	1.00	
